player,team,QB,QB_WR1,QB_WR2,QB_WR3,QB_WR1_WR2,QB_WR1_TE1,QB_WR1_WR3,QB_WR2_TE1,QB_WR2_WR3
Patrick Mahomes,KC,111,171,134,120,194,298,180,261,143
Jalen Hurts,PHI,110,233,216,110,339,295,233,278,216
Josh Allen,BUF,109,233,161,111,285,261,235,189,163
Lamar Jackson,BAL,98,138,143,130,183,235,170,240,175
Justin Fields,CHI,90,173,114,91,197,190,174,131,115
Joe Burrow,CIN,87,219,193,115,325,230,247,204,221
Justin Herbert,LAC,77,162,159,125,244,168,210,165,207
Trevor Lawrence,JAX,67,161,145,89,239,204,183,188,167
Deshaun Watson,CLE,50,143,86,60,179,178,153,121,96
Anthony Richardson,IND,47,121,62,54,136,121,128,62,69
Dak Prescott,DAL,42,161,91,56,210,161,175,91,105
Kirk Cousins,MIN,37,170,98,49,231,250,182,178,110
Daniel Jones,NYG,35,41,51,38,57,94,44,104,54
Aaron Rodgers,NYJ,31,148,61,32,178,149,149,62,62
Geno Smith,SEA,29,128,99,93,198,128,192,99,163
Jared Goff,DET,24,140,61,24,177,148,140,69,61
Russell Wilson,DEN,20,103,60,20,143,116,103,73,60
Kyler Murray,ARI,16,100,71,20,155,100,104,71,75
Jordan Love,GB,14,101,30,21,117,101,108,30,37
Derek Carr,NO,14,123,56,22,165,132,131,65,64
Matthew Stafford,LAR,9,137,15,9,143,149,137,27,15
Bryce Young,CAR,6,18,28,23,40,19,35,29,45
Kenny Pickett,PIT,4,59,62,4,117,91,59,94,62
Trey Lance,SF,4,99,70,4,165,174,99,145,70
C.J. Stroud,HOU,2,17,2,4,17,37,19,22,4
Jimmy Garoppolo,LV,2,123,29,6,150,126,127,32,33
Desmond Ridder,ATL,0,80,0,0,80,146,80,66,0
Mac Jones,NE,0,34,2,0,36,35,34,3,2
Baker Mayfield,TB,0,70,64,0,134,70,70,64,64
Sam Howell,WAS,0,79,50,3,129,79,82,50,53
,TEN,,57,0,0,57,76,57,19,0
